title;author_name;text;labels;
Nicholas Nickleby;Charles Dickens;There once lived, in a sequestered part of the county of Devonshire, one Mr. Godfrey Nickleby: a worthy gentleman, who, taking it into his head rather late in life that he must get married, and not being young enough or rich enough to aspire to the hand of a lady of fortune, had wedded an old flame out of mere attachment, who in her turn had taken him for the same reason. Thus two people who cannot afford to play cards for money, sometimes sit down to a quiet game for love;1;
The Pearl;John Steinbeck;Kino awakened in the near dark. The stars still shone and the day had drawn only a pale wash of light in the lower sky to the east. The roosters had been crowing for some time, and the early pigs were already beginning their ceaseless turning of twigs and bits of wood to see whether anything to eat had been overlooked. Outside the brush house in the tuna clump, a covey of little birds chittered and flurried with their wings.;1;
Ethan Frome;Edith Wharton;The village lay under two feet of snow, with drifts at the windy corners. In a sky of iron the points of the Dipper hung like icicles and Orion flashed his cold fires. The moon had set, but the night was so transparent that the white house-fronts between the elms looked gray against the snow, clumps of bushes made black stains on it, and the basement windows of the church sent shafts of yellow light far across the endless undulations.;0;
The Tale of Genji;Murasaki Shikibu;"AT the Court of an Emperor (he lived it matters not when) there was among the many gentlewomen of the Wardrobe and Chamber one, who though she was not of very high rank was favoured far beyond all the rest; so that the great ladies of the Palace, each of whom had secretly hoped that she herself would be chosen, looked with scorn and hatred upon the upstart who had dispelled their dreams.";0;
The Giver;Lois Lowry;It was almost December, and Jonas was beginning to be frightened. No. Wrong word, Jonas thought. Frightened meant that deep, sickening feeling of something terrible about to happen. Frightened was the way he had felt a year ago when an unidentified aircraft had overflown the community twice. He had seen it both times.;0;
The Alchemist;Paulo Coelho;The alchemist picked up a book that someone in the caravan had brought. LeaÞng through the pages, hefound a story about Narcissus.The alchemist knew the legend of Narcissus, a youth who knelt daily beside a lake to contemplate his own beauty.;1;
The Strange Case of Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;"Mr. Utterson the lawyer was a man of a rugged countenance that was never lighted by a smile; cold, scanty and embarrassed in discourse; backward in sentiment; lean, long, dusty, dreary and yet somehow lovable. At friendly meetings, and when the wine was to his taste, something eminently human beaconed from his eye";1;
Robinson Crusoe;Daniel Defoe;I was born in the year 1632, in the city of York, of a good family, though not of that country, my father being a foreigner of Bremen, who settled first at Hull. He got a good estate by merchandise, and leaving off his trade, lived afterwards at York, from whence he had married my mother, whose relations were named Robinson, a very good family in that country, and from whom I was called Robinson Kreutznaer;1;
Tender is the Night;F. Scott Fitzgerald;On the pleasant shore of the French Riviera, about half way between Marseilles and the Italian border, stands a large, proud, rose-colored hotel. Deferential palms cool its flushed faade, and before it stretches a short dazzling beach. Lately it has become a summer resort of notable and fashionable people;1;
The Idiot;Fyodor Dostoyevsky;Towards the end of November, during a thaw, at nine oÕclock one morning, a train on the Warsaw and Petersburg railway was approaching the latter city at full speed. The morning was so damp and misty that it was only with great difficulty that the day succeeded in breaking;1;
Hatchet;Gary Paulsen;BRIAN ROBESON stared out the window of the small plane at the endless green northern wilderness below. It was a small plane, a Cessna 406Ña bush-planeÑand the engine was so loud, so roaring and consuming and loud, that it ruined any chance for conversation.;1;
The Kite Runner;Khaled Hosseini;I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975.1 remember the precise moment, crouching behind a crumbling  mud wall, peeking into the alley near the frozen creek. That was a long time ago,  but it's wrong what they say about the past;1;
One Flew Over the Cuckoo's Nest;Ken Kesey;TheyÕre out there. Black boys in white suits up before me to commit sex acts in the hall and get it mopped up before I can catch them. TheyÕre mopping when I come out the dorm, all three of them sulky and hating everything, the time of day, the place theyÕre at here, the people they got to work around.;1;
The Portrait of a Lady;Henry James;Under certain circumstances there are few hours in life more agreeable than the hour dedicated to the ceremony known as afternoon tea. There are circumstances in which, whether you partake of the tea or notÑsome people of course never do,Ñthe situation is in itself delightful.;1;
The Outsiders;S.E. Hinton;WHEN I STEPPED OUT into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home. I was wishing I looked like Paul Newman--- he looks tough and I don't--- but I guess my own looks aren't so bad.;0;
I Shall Not Be Moved;Maya Angelou;Big ships shudder down to the sea because of me. Railroads run on a twinness track 'cause of by back. Whoppa, Whoppa. Whoppa, Whoppa.;0;
The Year of the Flood;Margaret Atwood;In the early morning Toby climbs up to the rooftop to watch the sunrise. She uses a mop handle for balance: the elevator stopped working some time ago and the back stairs are slick with damp, so if she slips and topples there wonÕt beanyoneto pick her up.;0;
Little House in the Big Woods;Laura Ingalls Wilder;Once upon a time, sixty years ago, a little girl lived in the Big Woods of Wisconsin, in a little gray house made of logs. The great, dark trees of the Big Woods stood all around the house, and beyond them were other trees and beyond them were more trees.;0;
Wise Blood;Flannery O'Connor;Hazel Motes sat at a forward angle on the green plush train seat, looking one minute at the window as if he might want to jump out of it, and the next down the aisle at the other end of the car. The train was racing through tree tops that fell away at intervals and showed the sun standing, very red, on the edge of the farthest woods;0;
Always Coming Home;Ursula K. Le Guin;HOW THE PATIENT scientist feels when the shapeless tussocks and vahue ditches under the thistles and scrub begin to take shape and come clear: this was the outer rampart -this the gateway- that was the granary!;0;
Vanity Fair;William Makepeace Thackeray;"As the manager of the Performance sits before the curtain on the boards and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place. There is a great quantity of eating and drinking, making love and jilting, laughing and the contrary, smoking, cheating, fighting, dancing and fiddling; there are bullies pushing about, bucks ogling the women, knaves picking pockets, policemen on the look-out, quacks (OTHER quacks, plague take them!) bawling in front of their booths, and yokels looking up at the tinselled dancers and poor old rouged tumblers, while the light-fingered folk are operating upon their pockets behind.";1;
All Quiet on the Western Front;Erich Maria Remarque;"We are at rest five miles behind the front. Yesterday we were relieved, and now our bellies are full of beef and haricot beans. We are satisfied and at peace. Each man has another mess-tin full for the evening; and, what is more, there is a double ration of sausage and bread. That puts a man in fine trim. We have not had such luck as this for a long time.";1;
The Diary of a Young Girl;Anne Frank;"I hope I will be able to confide everything to you, as I have never been able to
confide in anyone, and I hope you will be a great source of comfort and support.";0;
The Joy Luck Club;Amy Tan;My father has asked me to be the fourth corent at the Joy Luck Club. I am to replace my mother, whose seat at the mah jong table has been empty since she died two months ago. My father thinks she was kiled by her own thoughts.;0;
Runaway;Alice Munro;Carla heard the car coming before it topped the little rise in the road that around here they called a hill. ItÕs her, she thought. Mrs. JamiesonÑSylviaÑhome from her holiday in Greece. ;0;
The Call of the Wild;Jack London;Buck's  first day on the Dyea beach was like a nightmare. Every hour was filled with shock and surprise. He had been suddenly jerked from the heart of civilization and flung into the heart of  things primordial. No lazy, sun-kissed life was this, with nothing to do but loaf and be bored.;1;
20,000 Leagues Under the Sea;Jules Verne;The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited.;1;
Anna Karenina;Leo Tolstoy;"Happy families are all alike; every unhappy family is unhappy in its own way. Everything was in confusion in the OblonskysÕ house. The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him";1;
The Wind in the Willows;Kenneth Grahame;"The Mole had been working very hard all the morning, spring-cleaning his little home. First with brooms, then with dusters; then on ladders and steps and chairs, with a brush and a pail of whitewash; till he had dust in his throat and eyes, and splashes of whitewash all over his black fur, and an aching back and weary arms.Ê";1;
The Picture of Dorian Gray;Oscar Wilde;The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.;1;
The Grapes of Wrath;John Steinbeck;TO THE RED COUNTRY and part of the gray country of Oklahoma, the last rains camegently, and they did not cut the scarred earth. The plows crossed and recrossed the rivulet marks.The last rains lifted the corn quickly and scattered weed colonies and grass along the sides of theroads so that the gray country and the dark red country began to disappear under a green cover.;1;
Sense and Sensibility;Jane Austen;The family of Dashwood had long been settled in Sussex. Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance.;0;
The Last of the Mohicans;James Fenimore Cooper;It was a feature peculiar to the colonial wars of North America, that the toils and dangers of the wilderness were to be encountered before the adverse hosts could meet. A wide and apparently an impervious boundary of forests severed the possessions of the hostile provinces of France and England.;1;
Tess of the d'Urbervilles;Thomas Hardy;On an evening in the latter part of May a middle-aged man was walking homeward from Shaston to the village of Marlott, in the adjoining Vale of Blakemore, or Blackmoor. The pair of legs that carried him were rickety, and there was a bias in his gait which inclined him somewhat to the left of a straight line.;1;
Harry Potter and the Sorcerer's Stone;J.K. Rowling;Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to saythat they were perfectly normal, thank you very much. They were the lastÊpeople you'd expect to be involved in anything strange or mysterious,Êbecause they just didn't hold with such nonsense.;0;
Heidi;Johanna Spyri;From the old and pleasantly situated village of Mayenfeld, a footpath winds through green and shady meadows to the foot of the mountains, which on this side look down from their stern and lofty heights upon the valley below. The land grows gradually wilder as the path ascends, and the climber has not gone far before he begins to inhale the fragrance of the short grass and sturdy mountain-plants, for the way is steep and leads directly up to the summits above.;0;
Ulysses;James Joyce;Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed. A yellow dressinggown, ungirdled, was sustained gently behind him on the mild morning air. He held the bowl aloft and intoned: -Introibo ad altare Dei.;1;
The Complete Sherlock Holmes;Arthur Conan Doyle;To Sherlock Holmes she is always the woman. I have seldom heard him mention her under any other name. In his eyes she eclipses and predominates the whole of her sex. It was not that he felt any emotion akin to love for Irene Adler. ;1;
The Count of Monte Cristo;Alexandre Dumas;On the 24th of February, 1815, the look-out at Notre-Dame de la Garde signalled the three-master, theÊPharaonÊfrom Smyrna, Trieste, and Naples. As usual, a pilot put off immediately, and rounding the Ch‰teau dÕIf, got on board the vessel between Cape Morgiou and Rion island.;1;
The Old Man and the Sea;Ernest Hemingway;He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. In the first forty days a boy had been with him. But after forty days without a fish the boyÕs parents had told him that the old man was now definitely and finally salao, which is the worst form of unlucky, and the boy had gone at their orders in another boat;1;
The Lion, the Witch, and the Wardrobe;C.S. Lewis;Once there were four children whose names were Peter, Susan, Edmund and Lucy. This story is about something that happened to them when they were sent away from London during the war because of the air-raids. They were sent to the house of an old Professor who lived in the heart of the country, ten miles from the nearest railway station and two miles from the nearest post office.;1;
The Hunchback of Notre Dame;Victor Hugo;Three hundred and forty-eight years, six months, and nineteen days ago to-day, the Parisians awoke to the sound of all the bells in the triple circuit of the city, the university, and the town ringing a full peal.;1;
Pinocchio;Carlo Collodi;There was once upon a time a piece of wood in the shop of an old carpenter named Master Antonio. Everybody, however, called him Master Cherry, on account of the end of his nose, which was always as red and polished as a ripe cherry. No sooner had Master Cherry set eyes on the piece of wood than his face beamed with delight, and, rubbing his hands together with satisfaction;1;
One Hundred Years of Solitude;Gabriel Garc’a M‡rquez;Many years later as he faced the firing squad, Colonel Aureliano Buend’a was to rememberthat distant afternoon when his father took him to discover ice. At that time Macondo was a village oftwenty adobe houses, builtÊon the bank of a river ofÊclear water thatÊran along a bed of polished stones,which were white and enormous, like prehistoric eggs.;1;
Ivanhoe;Walter Scott;In that pleasant district of merry England which is watered by the river Don, there extended in ancient times a large forest, covering the greater part of the beautiful hills and valleys which lie between Sheffield and the pleasant town of Doncaster.;1;
The Red Badge of Courage;Stephen Crane;The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting. As the landscape changed from brown to green, the army awakened, and began to tremble with eagerness at the noise of rumors.;1;
Anne of Green Gables;L.M. Montgomery;"MRS. Rachel Lynde lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladiesÕ eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods";0;
Black Beauty;Anna Sewell;"The first place that I can well remember was a large pleasant meadow with a pond of clear water in it. Some shady trees leaned over it, and rushes and water-lilies grew at the deep end. Over the hedge on one side we looked into a plowed field, and on the other we looked over a gate at our master's house, which stood by the roadside; at the top of the meadow was a grove of fir trees, and at the bottom a running brook overhung by a steep bank.";0;
Peter Pan;J.M. Barrie;All children, except one, grow up. They soon know that they will grow up, and the way Wendy knew was this. One day when she was two years old she was playing in a garden, and she plucked another flower and ran with it to her mother. I suppose she must have looked rather delightful, for Mrs. Darling put her hand to her heart and cried;1;
A Farewell to Arms;Ernest Hemingway;In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees.;1;
The House of the Seven Gables;Nathaniel Hawthorne;"Halfway down a by-street of one of our New England towns stands a rusty wooden house, with seven acutely peaked gables, facing towards various points of the compass, and a huge, clustered chimney in the midst. The street is Pyncheon Street; the house is the old Pyncheon House; and an elm-tree";1;
Lord of the Flies;William Golding;The boy with fair hair lowered himself down the last few feet of rock and began to pick his way toward the lagoon. Though he had taken off his school sweater and trailed it now from one hand, his grey shirt stuck to him and his hair was plastered to his forehead. All round him the long scar smashed into the jungle was a bath of heat;1;
The Prince and the Pauper;Mark Twain;In the ancient city of London, on a certain autumn day in the second quarter of the sixteenth century, a boy was born to a poor family of the name of Canty, who did not want him. On the same day another English child was born to a rich family of the name of Tudor, who did want him. All England wanted him too. England had so longed for him, and hoped for him, and prayed God f;1;
A Portrait of the Artist as a Young Man;James Joyce;Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo.... His father told him that story: his father looked at him through a glass: he had a hairy face.;1;
Lord Jim;Joseph Conrad;He was an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull. His voice was deep, loud, and his manner displayed a kind of dogged self-assertion which had nothing aggressive in it.;1;
Harry Potter and the Chamber of Secrets;J.K. Rowling;Not for the Þrst time, an argument had broken out overbreakfast at number four, Privet Drive. Mr. Vernon Durs-ley had been woken in the early hours of the morning by a loud,hooting noise from his nephew HarryÕs room. Ò?ird time this week!Ó he roared across the table. ÒIf you canÕtcontrol that owl, itÕll have to go!Ó;0;
Dragonflight;Anne McCaffrey;WHEN IS AÊlegend legend? Why is a myth a myth? How old and disused must a fact be for it to be relegated to the category ÒFairy-taleÓ? And why do certain facts remain incontrovertible while others lose their validity to assume a shabby, unstable character?;0;
Kindred;Octavia E. Butler;"I lost an arm on my last trip home. My left arm. And I lost about a year of my life and much of the comfort and security I had not valued until it was gone. When the police released Kevin,
he came to the hospital and stayed with me so that I would know I hadnÕt
lost him too.";0;
The Temple;Joyce Carol Oates;THERE, again, the vexing, mysterious sound!-a faint mewing cry followed by a muffled scratching, as of something being raked by nails, or claws. At first the woman believed the sound must be coming from somewhere inside the house, a small animal, perhaps a squirrel;0;
Purple Hibiscus;Chimamanda Ngozi Adichie;Things started to fall apart at home when my brother, Jaja, did not go to communion and Papa flung his heavy missal across the room and broke the figurines on the Žtagre. We had just returned from church. Mama placed the fresh palm fronds;0;
Whose Body? A Lord Peter Wimsey Novel;Dorothy L. Sayers;"ÒOh, damn!Ó said Lord Peter Wimsey at Piccadilly Circus. ÒHi, driver!Ó The taxi man, irritated at receiving this appeal while negotiating the intricacies of turning into Lower Regent Street across the route of a 19 Õbus, a 38-B and a bicycle, bent an unwilling ear.
";0;
NW;Zadie Smith;The fat sun stalls by the phone masts. Anti-climb paint turns sulphurous on school gates and lampposts. In Willesden people go barefoot, the streets turn European, there is a mania for eating outside.;0;
Interview with the Vampire;Anne Rice;"I seeÉ"" said the vampire thoughtfully, and slowly he walked across the room towards the window. For a long time he stood there against the dim light from Divisadero Street and the passing beams of traffic.";0;
Gigi;Colette;Don't forget you are going to Aunt Alicia's. Do you hear me, Gilberte? Come here and let me do your curls, Gilberte, do you hear me?';0;
Geography and Plays;Gertrude Stein;ONEÊevening in the winter, some years ago, my brother came to my rooms in the city of Chicago bringing with him a book by Gertrude Stein. The book was calledÊTender ButtonsÊand, just at that time, there was a good deal of fuss and fun being made over it in American newspapers.;0;
The Hour of The Star;Clarice Lispector;THIS IS NOT A LAMENT, ITÕS THE CRY OF A BIRD OF PREY. AN IRIDESCENT AND RESTLESS bird. The kiss upon the dead face. I  write  as  if  to  save  somebodyÕs  life.  Probably  my  own.  Life  is  a  kind  of madness that death makes. Long live the dead because we live in them;0;
The Garden Party;Katherine Mansfield;And after all the weather was ideal. They could not have had a more perfect day for a garden-party if they had ordered it. Windless, warm, the sky without a cloud. Only the blue was veiled with a haze of light gold, as it is sometimes in early summer.;0;
Outlander;Diana Gabaldon;People disappear all the time. Ask any policeman. Better yet, ask a journalist. Disapperances are bread-and-butter to journalists.;0;
Vanity Fair;William Makepeace Thackeray;"As the manager of the Performance sits before the curtain on the boards and looks into the Fair, a feeling of profound melancholy comes over him in his survey of the bustling place. There is a great quantity of eating and drinking, making love and jilting, laughing and the contrary, smoking, cheating, fighting, dancing and fiddling; there are bullies pushing about, bucks ogling the women, knaves picking pockets, policemen on the look-out, quacks (OTHER quacks, plague take them!) bawling in front of their booths, and yokels looking up at the tinselled dancers and poor old rouged tumblers, while the light-fingered folk are operating upon their pockets behind.";1;
All Quiet on the Western Front;Erich Maria Remarque;"We are at rest five miles behind the front. Yesterday we were relieved, and now our bellies are full of beef and haricot beans. We are satisfied and at peace. Each man has another mess-tin full for the evening; and, what is more, there is a double ration of sausage and bread. That puts a man in fine trim. We have not had such luck as this for a long time.";1;
Candide;Voltaire;In a castle of Westphalia, belonging to the Baron of Thunder-ten-Tronckh, lived a youth,  whom nature had endowed with the most gentle manners. His countenance was a 1 picture  of his soul. He combined a 1 judgment with simplicity of spirit, which was the reason, I apprehend, of his being called Candide. ;1;
For Whom the Bell Tolls;Ernest Hemingway;"He lay flat on the brown, pine-needled floor of the forest, his chin on his folded arms, and high overhead the wind blew in the tops of the pine trees. The mountainside sloped gently where he lay; but below it was steep and he could see the dark of the oiled road winding through the pass.";1;
Far from the Madding Crowd;Thomas Hardy;When Farmer Oak smiled, the corners of his mouth spread till they were within an unimportant distance of his ears, his eyes were reduced to mere chinks, and diverging wrinkles appeared round them, extending upon his countenance like the rays in a rudimentary sketch of the rising sun.;1;
The Fellowship of the Ring;J.R.R. Tolkien;When  Mr.  Bilbo  Baggins  of  Bag  End  announced  that  he would  shortly  be  celebrating  his  eleventy-first  birthday  with a  party  of  special  magnificence,  there  was  much  talk  and  excitement  in  Hobbiton. ;1;
The Return of the Native;Thomas Hardy;A Saturday afternoon in November was approaching the time of twilight, and the vast tract of unenclosed wild known as Egdon Heath embrowned itself moment by moment. Overhead the hollow stretch of whitish cloud shutting out the sky was as a tent which had the whole heath for its floor.;1;
Sweat;Zora Neale Hurston;It was eleven oÕclock of a Spring night in Florida. It was Sunday. Any other night, Delia Jones would have been in bed for two hours by this time. But she was a wash-woman, and Monday morning meant a great deal to her.;0;
