title;author_name;text;author_male
Utopia;Thomas More;Henry VIII., the unconquered King of England, a prince adorned with all the virtues that become a great monarch, having some differences of no small consequence with Charles the most serene Prince of Castile, sent me into Flanders, as his ambassador, for treating and composing matters between them.;TRUE
The History of Tom Jones, a Foundling;Henry Fielding;"An author ought to consider himself, not as a gentleman who gives a private or eleemosynary treat, but rather as one who keeps a public ordinary, at which all persons are welcome for their money. In the former case, it is well known that the entertainer provides what fare he pleases; and though this should be very indifferent, and utterly disagreeable to the taste of his company, they must not find any fault; nay, on the contrary, good breeding forces them outwardly to approve and to commend whatever is set before them. Now the contrary of this happens to the master of an ordinary.";TRUE
Harry Potter and the Prisoner of Azkaban;J.K. Rowling;Harry Potter was a highly unusual boy in many ways. For onething, he hated the summer holidays more than any other time of year. For another, he really wanted to do his homework, but wasforced to do it in secret, in the dead of night. And he also hap-pened to be a wizard.;FALSE
Kim;Rudyard Kipling;He sat, in defiance of municipal orders, astride the gun Zam Zammah on her brick platform opposite the old Ajaib-Gher—the Wonder House, as the natives call the Lahore Museum. Who hold Zam-Zammah, that “fire-breathing dragon”, hold the Punjab, for the great green-bronze piece is always first of the conqueror’s loot.;TRUE
The Sound and the Fury;William Faulkner;Through the fence, between the curling flower spaces, I could see them hitting. They were coming toward where the flag was and I went along the fence. Luster was hunting in the grass by the flower tree. They took the flag out, and they were hitting. Then they put the flag back and they went to the tablem and he hit and the other hit. ;TRUE
Harry Potter and the Goblet of Fire;J.K. Rowling;"The villagers of Little Hangleron still called it ""the Riddle House,"" even though it had been many years since the Riddle family had lived there. It stood on a hill overlooking the village, some of its windows boarded, tiles missing from its roof, and ivy spreading unchecked over its face. Once a fine-looking manor, and easily the largest and grandest building for miles around, the Riddle House was now damp, derelict, and unoccupied.";FALSE
The Mill on the Floss;George Eliot;A wide plain, where the broadening Floss hurries on between its green banks to the sea, and the loving tide, rushing to meet it, checks its passage with an impetuous embrace. On this mighty tide the black ships—laden with the fresh-scented fir-planks, with rounded sacks of oil-bearing seed, or with the dark glitter of coal—are borne along to the town of St Ogg’s;TRUE
A Wrinkle in Time;Madeleine L'Engle;IT was a dark and stormy night. In her attic bedroom Margaret Murry, wrapped in an old patchwork quilt, sat on the foot of her bed and watched the trees tossing in the frenzied lashing of the wind. Behind the trees clouds scudded frantically across the sky. Every few moments the moon ripped through them, creating wraith-like shadows that raced along the ground.;FALSE
The Hound of the Baskervilles;Arthur Conan Doyle;Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he was up all night, was seated at the breakfast table. I stood upon the hearth-rug and picked up the stick which our visitor had left behind him the night before. It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a “Penang lawyer.” ;TRUE
The Two Towers;J.R.R. Tolkien;Aragorn sped on up the hill. Every now and again he bent to the ground. Hobbits go light, and their footprints are not easy even for a Ranger to read, but not far from the top a spring crossed the path, and in the wet earth he saw what he was seeking.;TRUE
The War of the Worlds;H.G. Wells;"No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man’s and yet as mortal as his own; that as men busied themselves about their various concerns they were scrutinised and studied, perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water.";TRUE
Middlemarch;George Eliot;"Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress. Her hand and wrist were so finely formed that she could wear sleeves not less bare of style than those in which the Blessed Virgin appeared to Italian painters; and her profile as well as her stature and bearing seemed to gain the more dignity from her plain garments";TRUE
The Age of Innocence;Edith Wharton;"On a January evening of the early seventies, Christine Nilsson was singing in Faust at the Academy of Music in New York. Though there was already talk of the erection, in remote metropolitan distances ""above the Forties,"" of a new Opera House which should compete in costliness and splendour with those of the great European capitals, the world of fashion was still content to reassemble every winter in the shabby red and gold boxes of the sociable old Academy.";FALSE
The Color Purple;Alice Walker;Whatever else The Color Purple has been taken for during the years since its publication, it remains for me the theological  work examining the journey from the religious back to the spiritual that I spent much of my adult life, prior to writing it,  seeking to avoid. Having recognized myself as a worshiper of Nature by the age of eleven, because my spirit resolutely  wandered out the window to find trees and wind during Sunday sermons, I saw no reason why, once free, I should bother  with religious matters at all.;FALSE
Northanger Abbey;Jane Austen;No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine. Her situation in life, the character of her father and mother, her own person and disposition, were all equally against her. Her father was a clergyman, without being neglected, or poor, and a very respectable man, though his name was Richard—and he had never been handsome;FALSE
East of Eden;John Steinbeck;The Salinas Valley is in Northern California. It is a long narrow swale between tworanges of mountains, and the Salinas River winds and twists up the center until it falls atlast into Monterey Bay.;TRUE
On the Road;Jack Kerouac;I first met Dean not long after my wife and I split up. I had just gotten over a serious illness that I won’t bother to talk about, except that it had something to do with the miserably weary split-up and my feeling that everything was dead. With the coming of Dean Moriarty began the part of my life you could call my life on the road. Before that I’d often dreamed of going West to see the country, always vaguely planning and never taking off.;TRUE
Catch-22;Joseph Heller;It was love at first sight. The first time Yossarian saw the chaplain he fell madly in love with him. Yossarian was in the hospital with a pain in his liver that fell just short of being jaundice. The doctors were puzzled by the fact that it wasn’t quite jaundice. If it became jaundice they could treat it.;TRUE
Around the World in Eighty Days;Jules Verne;"Mr. Phileas Fogg lived, in 1872, at No. 7, Saville Row, Burlington Gardens, the house in which Sheridan died in 1814. He was one of the most noticeable members of the Reform Club, though he seemed always to avoid attracting attention; an enigmatical personage, about whom little was known, except that he was a polished man of the world.";TRUE
Hard Times;Charles Dickens;‘Now, what I want is, Facts.  Teach these boys and girls nothing but Facts.  Facts alone are wanted in life.  Plant nothing else, and root out everything else.  You can only form the minds of reasoning animals upon Facts: nothing else will ever be of any service to them.  This is the principle on which I bring up my own children, and this is the principle on which I bring up these children.  Stick to Facts, sir!’;TRUE
Beloved;Toni Morrison;124 WAS SPITEFUL. Full of a baby's venom. The women in the house knew it and so did the children. For years each put up with the spite in his own way, but by 1873 Sethe and her daughter Denver were its only victims.;FALSE
Mrs. Dalloway;Virginia Woolf;"Mrs. Dalloway said she would buy the flowers herself. For Lucy had her work cut out for her. The doors would be taken off their hinges; Rumpelmayer's men were coming. And then, thought Clarissa Dalloway, what a morning—fresh as if issued to children on a beach.";FALSE
To the Lighthouse;Virginia Woolf;"""Yes, of course, if it's fine tomorrow,"" said Mrs Ramsay. ""But you'll have to be up with the lark,"" she added. To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.";FALSE
The Magician's Nephew;C.S. Lewis;This is a story about something that happened long ago when your grandfather was a child. It is a very important story because it shows how all the comings and goings between our own world and the land of Narnia first began.;TRUE
Harry Potter and the Order of the Phoenix;J.K. Rowling;"The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive. Cars that were usually gleaming stood dusty in their drives and lawns that were once emerald green lay parched and yellowing; the use of hosepipes had been banned due to drought.";FALSE
The Sun Also Rises;Ernest Hemingway;Robert Cohn was once middleweight boxing champion of Princeton. Do not think that I am very much impressed by that as a boxing title, but it meant a lot to Cohn. He cared nothing for boxing, in fact he disliked it, but he learned it painfully and thoroughly to counteract the feeling of inferiority and shyness he had felt on being treated as a Jew at Princeton.;TRUE
The Good Earth;Pearl S. Buck;IT WAS WANG LUNG'S MARRIAGE DAY. AT FIRST,  opening his eyes in the blackness of the curtains about his  bed, he could not think why the dawn seemed different from any other. The house was still except for the faint, gasping cough of his old father, whose room was opposite to his own across the middle room.;FALSE
Silas Marner;George Eliot;In the days when the spinning-wheels hummed busily in the farmhouses—and even great ladies, clothed in silk and thread-lace, had their toy spinning-wheels of polished oak—there might be seen in districts far away among the lanes, or deep in the bosom of the hills, certain pallid undersized men, who, by the side of the brawny country-folk, looked like the remnants of a disinherited race.;TRUE
Love in the Time of Cholera;Gabriel García Márquez;IT WAS INEVITABLE: the scent of bitter almonds always reminded him of the fate of unrequited love. Dr. Juvenal Urbino noticed it as soon as he entered the still darkened house where he had hurried on an urgent call to attend a case that for him had lost all urgency many years before.;TRUE
Rebecca;Daphne Du Maurier;Last night I dreamt  went to Manderley again. It seemed to  me I stood by the iron gate leading to the drive, and for a while I could not enter, for the way was barred to me. There was a padlock and a chain upon the gate. I called in my dream to tfie lodge-keeper, and had no answer, and peering closer tlirough  the rusted spokes of the^ate I saw that the lodge was uninhabited. ;FALSE
Jude the Obscure;Thomas Hardy;The schoolmaster was leaving the village, and everybody seemed sorry. The miller at Cresscombe lent him the small white tilted cart and horse to carry his goods to the city of his destination, about twenty miles off, such a vehicle proving of quite sufficient size for the departing teacher’s effects. For the schoolhouse had been partly furnished by the managers, and the only cumbersome article possessed by the master;TRUE
Twilight;Stephenie Meyer;I'd never given much thought to how I would die — though I'd had reason enough in the last few months — but even if I had, I would not have imagined it like this. ;FALSE
A Passage to India;E.M. Forster;Except for the Marabar Caves—and they are twenty miles off—the city of Chandrapore presents nothing extraordinary. Edged rather than washed by the river Ganges, it trails for a couple of miles along the bank, scarcely distinguishable from the rubbish it deposits so freely. There are no bathing-steps on the river front, as the Ganges happens not to be holy here;TRUE
The Plague;Albert Camus;"MOTHER died today. Or, maybe, yesterday; I can’t be sure. The telegram from the Home says: YOUR MOTHER PASSED AWAY. FUNERAL TOMORROW. DEEP SYMPATHY. Which leaves the matter doubtful; it could have been yesterday.";TRUE
Nicholas Nickleby;Charles Dickens;There once lived, in a sequestered part of the county of Devonshire, one Mr. Godfrey Nickleby: a worthy gentleman, who, taking it into his head rather late in life that he must get married, and not being young enough or rich enough to aspire to the hand of a lady of fortune, had wedded an old flame out of mere attachment, who in her turn had taken him for the same reason. Thus two people who cannot afford to play cards for money, sometimes sit down to a quiet game for love;TRUE
The Pearl;John Steinbeck;Kino awakened in the near dark. The stars still shone and the day had drawn only a pale wash of light in the lower sky to the east. The roosters had been crowing for some time, and the early pigs were already beginning their ceaseless turning of twigs and bits of wood to see whether anything to eat had been overlooked. Outside the brush house in the tuna clump, a covey of little birds chittered and flurried with their wings.;TRUE
Ethan Frome;Edith Wharton;The village lay under two feet of snow, with drifts at the windy corners. In a sky of iron the points of the Dipper hung like icicles and Orion flashed his cold fires. The moon had set, but the night was so transparent that the white house-fronts between the elms looked gray against the snow, clumps of bushes made black stains on it, and the basement windows of the church sent shafts of yellow light far across the endless undulations.;FALSE
The Tale of Genji;Murasaki Shikibu;"AT the Court of an Emperor (he lived it matters not when) there was among the many gentlewomen of the Wardrobe and Chamber one, who though she was not of very high rank was favoured far beyond all the rest; so that the great ladies of the Palace, each of whom had secretly hoped that she herself would be chosen, looked with scorn and hatred upon the upstart who had dispelled their dreams.";FALSE
The Giver;Lois Lowry;It was almost December, and Jonas was beginning to be frightened. No. Wrong word, Jonas thought. Frightened meant that deep, sickening feeling of something terrible about to happen. Frightened was the way he had felt a year ago when an unidentified aircraft had overflown the community twice. He had seen it both times.;FALSE
The Alchemist;Paulo Coelho;The alchemist picked up a book that someone in the caravan had brought. Leaﬁng through the pages, hefound a story about Narcissus.The alchemist knew the legend of Narcissus, a youth who knelt daily beside a lake to contemplate his own beauty.;TRUE
The Strange Case of Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;"Mr. Utterson the lawyer was a man of a rugged countenance that was never lighted by a smile; cold, scanty and embarrassed in discourse; backward in sentiment; lean, long, dusty, dreary and yet somehow lovable. At friendly meetings, and when the wine was to his taste, something eminently human beaconed from his eye";TRUE
Robinson Crusoe;Daniel Defoe;I was born in the year 1632, in the city of York, of a good family, though not of that country, my father being a foreigner of Bremen, who settled first at Hull. He got a good estate by merchandise, and leaving off his trade, lived afterwards at York, from whence he had married my mother, whose relations were named Robinson, a very good family in that country, and from whom I was called Robinson Kreutznaer;TRUE
Tender is the Night;F. Scott Fitzgerald;On the pleasant shore of the French Riviera, about half way between Marseilles and the Italian border, stands a large, proud, rose-colored hotel. Deferential palms cool its flushed façade, and before it stretches a short dazzling beach. Lately it has become a summer resort of notable and fashionable people;TRUE
The Idiot;Fyodor Dostoyevsky;Towards the end of November, during a thaw, at nine o’clock one morning, a train on the Warsaw and Petersburg railway was approaching the latter city at full speed. The morning was so damp and misty that it was only with great difficulty that the day succeeded in breaking;TRUE
Hatchet;Gary Paulsen;BRIAN ROBESON stared out the window of the small plane at the endless green northern wilderness below. It was a small plane, a Cessna 406—a bush-plane—and the engine was so loud, so roaring and consuming and loud, that it ruined any chance for conversation.;TRUE
The Kite Runner;Khaled Hosseini;I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975.1 remember the precise moment, crouching behind a crumbling  mud wall, peeking into the alley near the frozen creek. That was a long time ago,  but it's wrong what they say about the past;TRUE
One Flew Over the Cuckoo's Nest;Ken Kesey;They’re out there. Black boys in white suits up before me to commit sex acts in the hall and get it mopped up before I can catch them. They’re mopping when I come out the dorm, all three of them sulky and hating everything, the time of day, the place they’re at here, the people they got to work around.;TRUE
The Portrait of a Lady;Henry James;Under certain circumstances there are few hours in life more agreeable than the hour dedicated to the ceremony known as afternoon tea. There are circumstances in which, whether you partake of the tea or not—some people of course never do,—the situation is in itself delightful.;TRUE
The Outsiders;S.E. Hinton;WHEN I STEPPED OUT into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home. I was wishing I looked like Paul Newman--- he looks tough and I don't--- but I guess my own looks aren't so bad.;FALSE
I Shall Not Be Moved;Maya Angelou;Big ships shudder down to the sea because of me. Railroads run on a twinness track 'cause of by back. Whoppa, Whoppa. Whoppa, Whoppa.;FALSE
The Year of the Flood;Margaret Atwood;In the early morning Toby climbs up to the rooftop to watch the sunrise. She uses a mop handle for balance: the elevator stopped working some time ago and the back stairs are slick with damp, so if she slips and topples there won’t beanyoneto pick her up.;FALSE
Little House in the Big Woods;Laura Ingalls Wilder;Once upon a time, sixty years ago, a little girl lived in the Big Woods of Wisconsin, in a little gray house made of logs. The great, dark trees of the Big Woods stood all around the house, and beyond them were other trees and beyond them were more trees.;FALSE
Wise Blood;Flannery O'Connor;Hazel Motes sat at a forward angle on the green plush train seat, looking one minute at the window as if he might want to jump out of it, and the next down the aisle at the other end of the car. The train was racing through tree tops that fell away at intervals and showed the sun standing, very red, on the edge of the farthest woods;FALSE
Always Coming Home;Ursula K. Le Guin;HOW THE PATIENT scientist feels when the shapeless tussocks and vahue ditches under the thistles and scrub begin to take shape and come clear: this was the outer rampart -this the gateway- that was the granary!;FALSE
The Second Sex;Simone de Beauvoir;"I hesitated a long time before writing a book on woman. The subject is irritating, especially for women; and it is not new. Enough ink has flowed over the quarrel about feminism; it is now almost over: let’s not talk about it anymore.";FALSE
The Bell Jar;Sylvia Plath;It was a queer, sultry summer, the summer they electrocuted the Rosenbergs, and I didn’t know what I was doing in New York. I’m stupid about executions. The idea of being electrocuted makes me sick, and that’s all there was to read about in the papers;FALSE
The Diary of a Young Girl;Anne Frank;"I hope I will be able to confide everything to you, as I have never been able to
confide in anyone, and I hope you will be a great source of comfort and support.";FALSE
The Joy Luck Club;Amy Tan;My father has asked me to be the fourth corent at the Joy Luck Club. I am to replace my mother, whose seat at the mah jong table has been empty since she died two months ago. My father thinks she was kiled by her own thoughts.;FALSE
Runaway;Alice Munro;Carla heard the car coming before it topped the little rise in the road that around here they called a hill. It’s her, she thought. Mrs. Jamieson—Sylvia—home from her holiday in Greece. ;FALSE
Sweat;Zora Neale Hurston;It was eleven o’clock of a Spring night in Florida. It was Sunday. Any other night, Delia Jones would have been in bed for two hours by this time. But she was a wash-woman, and Monday morning meant a great deal to her.;FALSE
Ronia;Astrid Lindgren;ON THE NIGHT THAT RONIA WAS BORN A THUNDERSTORM WAS RAGING over the mountains, such a storm that all the goblinfolk in Matt’s Forest crept back in terror to their holes and hiding places. Only the fierce harpies preferred stormy weather to any other;FALSE
Mary Poppins;P. L. Travers;If you want to find Cherry-Tree Lane all you have to do is ask the Policeman at the cross-roads. He will push his helmet slightly to one side, scratch his head thoughtfully, and the he will point his huge white-gloved finger.;FALSE
The Golden Notebook;Doris Lessing;Anna meets her friend Molly in the summer of 1957 after a separation. THE two women were alone in the London flat. 'The point is,' said Anna, as her friend came back  from the telephone on the landing, 'the point is, that as far as I can see, everything's cracking up.' ;FALSE
The Hearts Is a Lonely Hunter;Carson McCullers;In the town there were two mutes,and they were always together. Earlyevery morning they would came outfrom the house where they lived andwalk arm in arm down the street to work.;FALSE
On Self-Respect;Joan Didion;"Once, in a dry season, I wrote in large letters across two pages of a notebook that 
innocence ends when one is stripped of the delusion that one likes oneself. Although 
now, some years later, I marvel that a mind on the outs with itself should have 
nonetheless made painstaking record of its every tremor";FALSE
North and South;Elizabeth Gaskell;“Edith!” said Margaret, gently, “Edith!” But as Margaret half suspected, Edith had fallen asleep. She lay curled up on the sofa in the back drawing-room in Harley Street looking very lovely in her white muslin and blue ribbons.;FALSE
Stories of Eva Luna;Isabel Allende;You took off your waistband, you tore off your sandals, you pulled your wide skirt, cotton, to one corner, it seems to me, and you let go the knot that held your hair in a tail. You had bristling skin and you laughed. We were so close that we could not see each other, both absorbed in that urgent rite, wrapped in the heat and the smell we were doing together.;FALSE
Silent Spring;Rachel Carson;THERE WAS ONCE a town in the heart of America where all life seemed to live in harmony with its surroundings. The town lay in the midst of a checkerboard of prosperous farms, with fields of grain and hillsides of orchards where, in spring, white clouds of bloom drifted above the green fields.;FALSE
Tiger Eyes;Judy Blume;It is the morning of the funeral and I am tearing my room apart, trying to find the right kind of shoes to wear. But all I come up with are my Adidas, which have holes in the toes.;FALSE
Adventures of the Wishing Chair;Enid Blyton;The adventures really began on the day that Mollie and Peter went out to spend thirty-five pence on a present for their mother's birthday.;FALSE
The God of Small Things;Arundhati Roy;May in Ayemenem is a hot, brooding month. The days are long and humid. The river shrinks and black crows gorge on bright mangoes in still, dustgreen trees. Red bananas ripen. Jackfruits burst. Dissolute bluebottles hum vacuously in the fruity air. Then they stun themselves against clear windowpanes and die, fatly baffled in the sun.;FALSE
The Bell;Iris Murdoch;Dora Greenfield left her husband because she was afraid of him. She decided six months later to return to him for the same reason. The absent Paul, haunting her with letters and telephone bells and imagined footsteps on the stairs had begun to be the greater torment. Dora suffered from guilt, and with guilt came fear. ;FALSE
The Talented Mr.Ripley;Patricia Highsmith;Fade up on Ripley, as in the final scene of the film, sitting, desolate in a ship's cabin. The camera rotates around his face, which begins in light and ends in darkness;FALSE
Complete Stories;Dorothy Parker;Mr.Wheelock was clipping the hedge. He did not dislike doing it. If it had not been for the faintly sickish odor of the privet bloom, he would definitely have enjoyed it.;FALSE
The Poisonwood Bible;Barbara Kingsolver;IMAGINE A RUIN so strange it must never have happened. First, picture the forest. I want you to be its conscience, the eyes in the trees. The trees are columns of slick, brindled bark like muscular animals overgrown beyond all reason. Every space is filled with life: delicate, poisonous frogs war-painted like skeletons, clutched in copulation;FALSE
The Optimist's Daughter;Eudora Welty;A nurse held the door open for them. Judge McKelva going first, then his daughter Laurel, then his wife Fay, they walked into the window-less room where the doctor would make his examination.;FALSE
Henry and June;Anaïs Nin;A book collector offered Henry Miller a hundred dollars a month to write erotic stories. It seemed like a Dantesque punishment to condemn Henry to write erotica at a dollar a page.;FALSE
The Children of Men;P. D. James;Early this morning, 1 January 2021, three minutes after midnight, the last human being to be born on earth was killed in a pub brawl in a suburb of Buenos Aires, aged twenty-five years, two months and twelve days.;FALSE
The Awakening;Kate Chopin;A GREEN AND YELLOW PARROT, which hung in a cage outside the door, kept repeating over and over: “Allez vous-en! Allez vous-en! Sapristi! That’s all right!”;FALSE
Dragonflight;Anne McCaffrey;WHEN IS A legend legend? Why is a myth a myth? How old and disused must a fact be for it to be relegated to the category “Fairy-tale”? And why do certain facts remain incontrovertible while others lose their validity to assume a shabby, unstable character?;FALSE
Kindred;Octavia E. Butler;"I lost an arm on my last trip home. My left arm. And I lost about a year of my life and much of the comfort and security I had not valued until it was gone. When the police released Kevin,
he came to the hospital and stayed with me so that I would know I hadn’t
lost him too.";FALSE
The Temple;Joyce Carol Oates;THERE, again, the vexing, mysterious sound!-a faint mewing cry followed by a muffled scratching, as of something being raked by nails, or claws. At first the woman believed the sound must be coming from somewhere inside the house, a small animal, perhaps a squirrel;FALSE
Purple Hibiscus;Chimamanda Ngozi Adichie;Things started to fall apart at home when my brother, Jaja, did not go to communion and Papa flung his heavy missal across the room and broke the figurines on the étagère. We had just returned from church. Mama placed the fresh palm fronds;FALSE
Whose Body? A Lord Peter Wimsey Novel;Dorothy L. Sayers;"“Oh, damn!” said Lord Peter Wimsey at Piccadilly Circus. “Hi, driver!” The taxi man, irritated at receiving this appeal while negotiating the intricacies of turning into Lower Regent Street across the route of a 19 ’bus, a 38-B and a bicycle, bent an unwilling ear.
";FALSE
NW;Zadie Smith;The fat sun stalls by the phone masts. Anti-climb paint turns sulphurous on school gates and lampposts. In Willesden people go barefoot, the streets turn European, there is a mania for eating outside.;FALSE
Interview with the Vampire;Anne Rice;"I see…"" said the vampire thoughtfully, and slowly he walked across the room towards the window. For a long time he stood there against the dim light from Divisadero Street and the passing beams of traffic.";FALSE
Gigi;Colette;Don't forget you are going to Aunt Alicia's. Do you hear me, Gilberte? Come here and let me do your curls, Gilberte, do you hear me?';FALSE
Geography and Plays;Gertrude Stein;ONE evening in the winter, some years ago, my brother came to my rooms in the city of Chicago bringing with him a book by Gertrude Stein. The book was called Tender Buttons and, just at that time, there was a good deal of fuss and fun being made over it in American newspapers.;FALSE
The Hour of The Star;Clarice Lispector;THIS IS NOT A LAMENT, IT’S THE CRY OF A BIRD OF PREY. AN IRIDESCENT AND RESTLESS bird. The kiss upon the dead face. I  write  as  if  to  save  somebody’s  life.  Probably  my  own.  Life  is  a  kind  of madness that death makes. Long live the dead because we live in them;FALSE
The Garden Party;Katherine Mansfield;And after all the weather was ideal. They could not have had a more perfect day for a garden-party if they had ordered it. Windless, warm, the sky without a cloud. Only the blue was veiled with a haze of light gold, as it is sometimes in early summer.;FALSE
Outlander;Diana Gabaldon;People disappear all the time. Ask any policeman. Better yet, ask a journalist. Disapperances are bread-and-butter to journalists.;FALSE
The Thorn Birds;Colleen McCullough;On December 8th, 1915, Meggie Cleary had her fourth birthday. After the breakfast dishes were put away her mother silently thrust a brown paper parcel into her arms and ordered her outside.;FALSE
The Tenant of Wildfell Hall;Anne Brontë;"You must go back with me to the autumn of 1827. My father, as you know, was a sort of gentleman farmer in ——shire; and I, by his express desire, succeeded him in the same quiet occupation, not very willingly, for ambition urged me to higher aims";FALSE
Regarding the pain of others;Susan Sontag;"In June 1938 Virginia Woolf published Three Guineas, her brave, 
unwelcomed reflections on the roots of war. Written during the 
preceding two years, while she and most of her intimates and fellow 
writers were rapt by the advancing fascist insurrection in Spain";FALSE
The Wonderful Adventrues of Nils;Selma Lagerlöf;"Once there was a boy. He was—let us say—something like fourteen years old; long and loose-jointed and towheaded. He wasn't good for much, that boy. His chief delight was to eat and sleep; and after that—he liked best to make mischief.";FALSE
The Guns of August;Barbara W. Tuchman;"So GORGEOUS WAS THE SPECTACLE ON THE MAY morning of 1910 when nine kings rode 
in the funeral of Edward VII of England that the crowd, waiting in hushed and blackclad awe, could not keep back gasps of admiration.";FALSE
The Scarlet Pimpernel;Emma Orczy;A surging, seething, murmuring crowd of beings that are human only in name, for to the eye and ear they seem naught but savage creatures, animated by vile passions and by the lust of vengeance and of hate.;FALSE
Collected Stories;Katherine Anne Porter;María Concepción walked carefully, keeping to the middle of the white dusty road, where the maguey thorns and the treacherous curved spines of organ cactus had no gathered so profusely.;FALSE
The Days of Abandonment;Elena Ferrante;"One April afternoon, right after lunch, my husband announced that he wanted to leave me. He did it while we were clearing the table; the children were quarreling as usual in the next room, the dog was dreaming, growling beside the radiator.";FALSE
The Secret History;Donna Tartt;"Does such a thing as ""the fatal flaw"", that showy dark crack running down the middle of a life, exist outside literature? I used to think it didn't. Now I think it does. And I think that mine is this: a morbid longing for the picturesque at all costs.";FALSE
The Foundling;Georgette Heyer;When the young gentleman strolling through the park with his gun on his shoulder and an elderly spaniel at his heels came withing sight of the house it occurred to him that the hour must be farther advanced than he had supposed;FALSE
Wide Sargasso Sea;Jean Rhys;They say when trouble comes close ranks, and so the white people did. But we were not in their ranks. The Jamaican ladies had never approved of my mother, 'because she prettuy like pretty self' Christophine said.;FALSE
The Lover;Marguerite Duras;One day, I was already old, in the entrance of a public place a man came up to me. He introduced himself and said, “I’ve known you for years. Everyone says you were beautiful when you were young, but I want to tell you I think you’re more beautiful now than then. Rather than your face as a young woman, I prefer your face as it is now. Ravaged.”;FALSE
An American Childhood;Annie Dillard;When everything else has gone from my brain --the Presindet's name, the state capitals, the neighborhoods where I lived, and then my own name and what it was on earth I sought, and the at length the faces of my friend, and finally the faces of my family.;FALSE
Moving the Mountain;Charlotte Perkins Gilman;"ONE of the most distinctive features of the human mind is to forecast better things. ""We look before and after And pine for what Is not."" ";FALSE
The Magic Toyshop;Angela Carter;The summer she was fifteen, Melanie discovered she was made of flesh and blood. O, my America, my new found land. She embarked on a tranced voyage, exploring the whole of herself, clambering her own mountain ranges.;FALSE
The snake pit;Sigrid Undset;"""Do you hear voices?""  he asked. You think I am deaf?  ""Of course,"" she said.  ""I hear yours.""  It was hard to keep on being civil.  She was tired and he had been asking questions such a long time, days and days of incredibly naive questions.";FALSE
On Lies, secrets and silence;Adrienne Rich;In October 1902, Elizabeth Cady Stanton died at the age of eighty-seven. Susan B. Anthony had worked with her for fifty years. Together, they had learned the meaning of activism in the abolitionist movement.;FALSE
Teaching to transgress;Bell Hooks;In the weeks before the English Departrnent at Oberlin College was about to decide whether or not I would be granted tenure, I was haunted by dreams of running away-of disappearing-yes, even of dying. These dreams were nota response to fear that I would not be granted tenure.;FALSE
Adam and Eve and Pinch Me;Ruth Rendell;MINTY KNEW IT was a ghost sitting in the chair because she was frightened. If it were only something she’d imagined, she wouldn’t have been afraid. You couldn’t be when it was something that came out of your own mind. ;FALSE
Memoirs of Hadrian;Marguerite Yourcenar;My dear Mark, Today I went to see my physician Hermogenes, who has just returned to the Villa from a rather long journey in Asia. No food could be taken before the examination, so we had made the appointment for the early morning hours.;FALSE
The Mysteries of Udolpho;Ann Radcliffe;On the pleasant banks of the Garonne, in the province of Gascony, stood, in the year 1584, the château of Monsieur St. Aubert. From its windows were seen the pastoral landscapes of Guienne and Gascony stretching along the river, gay with luxuriant woods and vine;FALSE
The White Queen;Phillipa Gregory;In the darkness of the forest the young knight could hear the splashing of the fountain long before he could see the glimmer of moonlight reflected on the still surface.;FALSE
The Passion;Jeanette Winterson;"It was Napoleon who had such apassionfor chicken that he kept his chefs working around the clock. What a kitchen that was, with birds in every state of undress;some still cold and slung over hooks, some turning slowlyon the spit, but most inwasted piles because he Emperor was busy";FALSE
The Virgin in the Garden;A. S. Byatt;She had invited Alexander, whether on the spur of the moment or with malice aforethought he did not know, to come and hear Flora Robson do Queen Elizabeth at the National Portrait Gallery.;FALSE
Woman at point zero;Nawal El Saadawi;This is the story of a real woman. I met her in the Qanatir Prison a few years ago. I was doing research on the personalities of a group of women prisoners and detainees convicted or accused of various offences.;FALSE
Just Kids;Patti Smith;I was asleep when he died. I had called the hospital to say one more good night, but he had gone under, beneath layers of morphine. I held the receiver and listened to his labored breathing through the phone, knowing I would never hear him again.;FALSE
Gravity and Grace;Simone Weil;All the natural movements of the soul are controlled by laws analogous to those of physical gravity. Grace is the only exception. We must always expect things to happen in conformity with the laws of gravity unless there is supernatural intervention.;FALSE
Fire from Heaven;Mary Renault;"The Child was wakened by the knotting of the snake's coils about his waist. For a moment he was frightened; it had squeezed his breathing, and given him a bad dream. But as soon as he was awake, he knew what it was, and pushed his two hands inside the coil.";FALSE
